timestamp,endingPrice,percentage,profit,Bithumb_Trans__Vol,profit(0to0)
2018.7.17,8031000,0.007566071,2328518,33489270000,0
2018.7.16,7475000,6.520084419,14644517,36926500000,0
2018.7.15,7192000,14.3212489,4226376,9493440000,132662
2018.7.14,7119000,10.5736609,-2453009,10322550000,-33260
2018.7.13,7075000,10.04623323,108019,16201750000,-518798
2018.7.12,7107000,9.732731789,-16529390,15919680000,0
2018.7.11,7236000,8.966752015,18322011,19464840000,-875046
2018.7.10,7145000,8.637381159,-9070107,25650550000,115097
2018.7.9,7486000,9.328340205,-12685945,25078100000,0
2018.7.8,7494000,4.344028809,15315231,32823720000,0
2018.7.7,7544000,2.79205997,6844664,39983200000,444104
2018.7.6,7484000,2.744326387,-21771154,38542600000,552316
2018.7.5,7281000,3.058406578,19456952,30798630000,552316
2018.7.4,7261000,4.164826379,-18993006,33836260000,-265027
2018.7.3,7197000,4.005881318,167826,43829730000,167826
2018.7.2,7253000,2.434492224,15168016,35612230000,563682
2018.7.1,7074000,0.972368449,-14585370,34167420000,18964
2018.6.30,7143000,1.612102708,1294735,24071910000,1294735
2018.6.29,6951000,2.124830519,-22237,23841930000,-22237
2018.6.28,6650000,2.203492503,8944514,18354000000,43101
2018.6.27,6923000,4.155668732,-9017302,12115250000,-115889
2018.6.26,6872000,6.41169655,197792,12575760000,197792
2018.6.25,7037000,4.273809622,82444,18296200000,82444
2018.6.24,6985000,2.67052072,106854,24936450000,106854
2018.6.23,7014000,5.916169988,7397843,16482900000,31449
2018.6.22,6909000,4.363731669,-7857717,31850490000,-491323
2018.6.21,7473000,4.893298042,7908171,11807340000,322135
2018.6.20,7463000,2.280440703,-39860,37613520000,-89624
2018.6.19,7504000,2.892685106,11099457,34143200000,76805
2018.6.18,7449000,2.720605748,-18665536,28529670000,-7084
2018.6.17,7214000,4.564251687,5861253,13418040000,588591
2018.6.16,7263000,2.509856943,17410635,20045880000,75841
2018.6.15,7298000,3.412356665,-7885079,39190260000,661295
2018.6.14,7355000,2.979946341,-12375358,55383150000,512364
2018.6.13,7031000,2.928281594,8520389,48232660000,39922
2018.6.12,7349000,2.184785871,6501387,50120180000,303336
