timestamp_year_month_day,point_amount_cumsum
2018-05-01,-56296.0
2018-05-02,166577.0
2018-05-03,521401.0
2018-05-04,545803.0
2018-05-05,340552.0
2018-05-06,237461.0
2018-05-07,1125971.0
2018-05-08,450854.0
2018-05-09,903271.0
2018-05-10,509872.0
2018-05-11,-16761.0
2018-05-12,716218.0
2018-05-13,506235.0
2018-05-14,748015.0
2018-05-15,218284.0
2018-05-16,-225233.0
2018-05-17,663890.0
2018-05-18,910767.0
2018-05-19,786656.0
2018-05-20,409514.0
2018-05-21,1217040.0
2018-05-22,-169971.0
2018-05-23,36236.0
2018-05-24,-152422.0
2018-05-25,-40057.0
2018-05-26,658904.0
2018-05-27,-156084.0
2018-05-28,99518.0
2018-05-29,153586.0
2018-05-30,606352.0
2018-05-31,196597.0
2019-05-15,86556.0
