timestamp,endingPrice,percentage
2018.7.17,8031000,0.007566071
2018.7.16,7475000,6.520084419
2018.7.15,7192000,14.3212489
2018.7.14,7119000,10.5736609
2018.7.13,7075000,10.04623323
2018.7.12,7107000,9.732731789
2018.7.11,7236000,8.966752015
2018.7.10,7145000,8.637381159
2018.7.9,7486000,9.328340205
2018.7.8,7494000,4.344028809
2018.7.7,7544000,2.79205997
2018.7.6,7484000,2.744326387
2018.7.5,7281000,3.058406578
2018.7.4,7261000,4.164826379
2018.7.3,7197000,4.005881318
2018.7.2,7253000,2.434492224
2018.7.1,7074000,0.972368449
2018.6.30,7143000,1.612102708
2018.6.29,6951000,2.124830519
2018.6.28,6650000,2.203492503
2018.6.27,6923000,4.155668732
2018.6.26,6872000,6.41169655
2018.6.25,7037000,4.273809622
2018.6.24,6985000,2.67052072
2018.6.23,7014000,5.916169988
2018.6.22,6909000,4.363731669
2018.6.21,7473000,4.893298042
2018.6.20,7463000,2.280440703
2018.6.19,7504000,2.892685106
2018.6.18,7449000,2.720605748
2018.6.17,7214000,4.564251687
2018.6.16,7263000,2.509856943
2018.6.15,7298000,3.412356665
2018.6.14,7355000,2.979946341
2018.6.13,7031000,2.928281594
2018.6.12,7349000,2.184785871
2018.6.11,7642000,2.266090214
2018.6.10,7583000,1.657339423
2018.6.9,8238000,2.824710337
2018.6.8,8337000,2.575281223
2018.6.7,8365000,3.633308134
2018.6.6,8350000,3.081947597
2018.6.5,8349000,2.456557156
2018.6.4,8252000,1.688245396
2018.6.3,8420000,1.992048375
2018.6.2,8329000,2.567768233
2018.6.1,8278000,2.12799432
2018.5.31,8272000,1.143006011
2018.5.30,8199000,1.033688563
2018.5.29,8303000,0.85980924
2018.5.28,7888000,0.771793501
2018.5.27,8173000,0.976000553
2018.5.26,8164000,0.873945119
2018.5.25,8320000,1.3661552
2018.5.24,8403000,1.452178234
2018.5.23,8485000,1.438768965
2018.5.22,8951000,1.551236517
2018.5.21,9331000,1.958666483
2018.5.20,9373000,1.765766414
2018.5.19,9100000,2.487574736
2018.5.18,9169000,2.540874522
2018.5.17,9069000,2.500533424
2018.5.16,9303000,2.493456647
2018.5.15,9509000,2.995351334
2018.5.14,9790000,2.072393197
2018.5.13,9809000,3.021984053
2018.5.12,9491000,1.997186937
2018.5.11,9251000,1.449214045
2018.5.10,9980000,1.338394686
2018.5.9,10388000,2.403558768
2018.5.8,10233000,3.373729134
2018.5.7,10437000,1.857052796
2018.5.6,10684000,1.331257517
2018.5.5,10828000,1.245174735
2018.5.4,10649000,1.940762215
2018.5.3,10676000,0.596095926
2018.5.2,10034000,0.792118675
2018.5.1,9914000,0.777968814
2018.4.30,10120000,1.87540911
2018.4.29,10190000,1.947603217
2018.4.28,10043000,3.600295144
2018.4.27,9816000,3.788469423
2018.4.26,10132000,2.671744304
2018.4.25,9805000,2.423266283
2018.4.24,10538000,1.885390132
2018.4.23,9757000,3.342722892
2018.4.22,9594000,2.670481776
2018.4.21,9706000,3.501288143
2018.4.20,9570000,2.533988843
2018.4.19,8976000,2.156305799
2018.4.18,8649000,2.523302189
2018.4.17,8464000,2.331748921
2018.4.16,8651000,2.916539345
2018.4.15,8657000,2.592478831
2018.4.14,8331000,2.354212814
2018.4.13,8372000,2.935662469
2018.4.12,8131000,2.530235955
2018.4.11,7422000,3.401079827
2018.4.10,7404000,5.784110776
2018.4.9,7443000,4.947097824
2018.4.8,7608000,4.41723545
2018.4.7,7524000,2.539615154
2018.4.6,7265000,3.000373125
2018.4.5,7395000,2.839950895
2018.4.4,7500000,3.691178626
2018.4.3,8095000,2.100187121
2018.4.2,7704000,2.206263954
2018.4.1,7469000,1.649504439
2018.3.31,7682000,2.696141572
2018.3.30,7594000,2.046265216
2018.3.29,7884000,1.51633879
2018.3.28,8720000,5.616227028
2018.3.27,8638000,3.792615806
2018.3.26,9045000,3.012340779
2018.3.25,9466000,5.313671729
2018.3.24,9560000,4.717012889
2018.3.23,9855000,3.168943604
2018.3.22,9765000,5.608953388
2018.3.21,9916000,4.321390529
2018.3.20,9828000,3.139901703
2018.3.19,9707000,2.237611923
2018.3.18,8985000,1.801428237
2018.3.17,8653000,2.357954656
2018.3.16,9080000,1.679415309
2018.3.15,9091000,1.903210857
2018.3.14,9141000,1.475216813
2018.3.13,10139000,2.748897737
2018.3.12,10206000,2.106257588
2018.3.11,10493000,1.692781447
2018.3.10,9867000,2.723763967
2018.3.9,10370000,1.375948109
2018.3.8,10470000,1.950362045
2018.3.7,11146000,0
2018.3.6,11992000,0
2018.3.5,12734000,1.352181497
2018.3.4,12569000,2.608263109
2018.3.3,12799000,2.963560376
2018.3.2,12441000,2.123142237
2018.3.1,12186000,2.249897382
2018.2.28,11822000,2.374220402
2018.2.27,11922000,2.480715346
2018.2.26,11745000,2.166732133
2018.2.25,11208000,1.89701844
2018.2.24,11524000,1.770713078
2018.2.23,12049000,2.109183407
2018.2.22,11725000,2.981843918
2018.2.21,12808000,2.447188324
2018.2.20,13516000,1.540460723
2018.2.19,12663000,1.683104168
2018.2.18,11961000,1.170557643
2018.2.17,12360000,0.983648617
2018.2.16,11431000,3.269500052
2018.2.15,11370000,2.583245909
2018.2.14,10469000,2.385646071
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
