,timestamp,point_amount_cumsum
1,2018-03-08 00:03:00,542.0
11,2018-03-08 00:10:00,60759.0
14,2018-03-08 00:12:00,1787.0
18,2018-03-08 00:13:00,-5500.0
24,2018-03-08 00:17:00,6237.0
28,2018-03-08 00:34:00,-11170.0
173,2018-03-08 04:53:00,-443757.0
175,2018-03-08 04:55:00,2756.0
189,2018-03-08 05:01:00,16812.0
193,2018-03-08 05:03:00,18002.0
196,2018-03-08 05:06:00,4340.0
198,2018-03-08 05:15:00,-33.0
274,2018-03-08 06:49:00,163014.0
276,2018-03-08 06:58:00,39.0
278,2018-03-08 07:04:00,40.0
283,2018-03-08 07:06:00,-3248.0
291,2018-03-08 07:11:00,43743.0
298,2018-03-08 07:21:00,10668.0
302,2018-03-08 07:26:00,2869.0
304,2018-03-08 07:28:00,49000.0
306,2018-03-08 07:28:00,-7475.0
310,2018-03-08 07:31:00,26906.0
312,2018-03-08 07:33:00,38.0
315,2018-03-08 07:37:00,2697.0
319,2018-03-08 07:40:00,-4023.0
321,2018-03-08 07:47:00,3570.0
323,2018-03-08 07:51:00,-7000.0
334,2018-03-08 08:03:00,-105654.0
341,2018-03-08 08:07:00,20464.0
344,2018-03-08 08:18:00,2889.0
346,2018-03-08 08:19:00,-91.0
350,2018-03-08 08:25:00,507.0
352,2018-03-08 08:29:00,-29400.0
356,2018-03-08 08:34:00,93326.0
358,2018-03-08 08:34:00,21459.0
364,2018-03-08 08:40:00,68538.0
366,2018-03-08 08:41:00,19600.0
436,2018-03-08 10:25:00,325163.0
438,2018-03-08 10:25:00,24.0
860,2018-03-08 18:45:00,860428.0
879,2018-03-08 19:09:00,-1286.0
883,2018-03-08 19:16:00,-4257.0
887,2018-03-08 19:17:00,11395.0
892,2018-03-08 19:30:00,28135.0
894,2018-03-08 19:38:00,-370.0
903,2018-03-08 19:56:00,13020.0
981,2018-03-08 21:44:00,6941.0
985,2018-03-08 21:51:00,-76112.0
1027,2018-03-08 22:59:00,256320.0
1284,2018-03-09 06:31:00,454632.0
1293,2018-03-09 06:54:00,-133156.0
1370,2018-03-09 09:01:00,35845.0
1379,2018-03-09 09:06:00,42.0
1381,2018-03-09 09:11:00,59.0
1384,2018-03-09 09:36:00,-26140.0
1386,2018-03-09 09:41:00,-113.0
1783,2018-03-09 19:23:00,20272.0
1862,2018-03-09 20:32:00,-19841.0
2056,2018-03-09 23:35:00,1035137.0
2058,2018-03-09 23:37:00,-70.0
2061,2018-03-09 23:46:00,17537.0
2318,2018-03-10 05:05:00,-163092.0
2320,2018-03-10 05:07:00,-164.0
2322,2018-03-10 05:08:00,216.0
2340,2018-03-10 05:49:00,114410.0
2363,2018-03-10 06:06:00,85007.0
2373,2018-03-10 06:12:00,127821.0
2380,2018-03-10 06:21:00,75125.0
