,timestamp,point_amount_cumsum
6,2018-05-01 01:08:09,-2818.0
30,2018-05-01 02:01:00,-5182.0
31,2018-05-01 02:28:32,-61140.0
32,2018-05-01 02:30:41,61098.0
37,2018-05-01 03:28:58,5065.0
51,2018-05-01 04:41:29,68362.0
53,2018-05-01 04:57:27,391.0
70,2018-05-01 07:02:57,24616.0
71,2018-05-01 07:15:27,-104.0
80,2018-05-01 07:19:21,-29324.0
81,2018-05-01 07:53:48,-99264.0
82,2018-05-01 08:01:38,99313.0
100,2018-05-01 08:34:16,-64689.0
103,2018-05-01 08:46:45,-6884.0
109,2018-05-01 09:06:04,-24960.0
116,2018-05-01 09:18:57,-42059.0
118,2018-05-01 09:21:04,-2554.0
121,2018-05-01 09:23:22,-13326.0
128,2018-05-01 09:28:50,702.0
130,2018-05-01 09:43:24,-94.0
135,2018-05-01 09:49:18,18758.0
137,2018-05-01 09:51:44,977.0
140,2018-05-01 09:52:29,1013.0
143,2018-05-01 09:55:43,-838.0
146,2018-05-01 10:00:40,11000.0
162,2018-05-01 10:16:58,-23211.0
163,2018-05-01 10:22:21,-46135.0
166,2018-05-01 10:22:55,50603.0
167,2018-05-01 10:23:14,-31510.0
179,2018-05-01 10:32:06,83685.0
187,2018-05-01 10:43:55,567.0
188,2018-05-01 10:48:04,-55317.0
189,2018-05-01 10:49:38,55362.0
193,2018-05-01 10:57:45,14506.0
194,2018-05-01 11:00:47,-10869.0
195,2018-05-01 11:00:56,-24730.0
216,2018-05-01 11:24:47,-55015.0
219,2018-05-01 11:26:36,856.0
220,2018-05-01 11:28:02,-825.0
222,2018-05-01 11:28:30,-36278.0
223,2018-05-01 11:28:51,-3938.0
231,2018-05-01 11:39:38,50579.0
260,2018-05-01 12:23:31,-21138.0
274,2018-05-01 13:03:11,34005.0
282,2018-05-01 13:25:48,16601.0
283,2018-05-01 14:03:48,-13766.0
285,2018-05-01 14:15:26,37768.0
289,2018-05-01 14:27:58,1758.0
293,2018-05-01 14:41:43,34802.0
294,2018-05-01 14:51:47,-12761.0
296,2018-05-01 14:54:47,13035.0
297,2018-05-01 15:47:26,-10894.0
305,2018-05-01 15:49:27,10352.0
312,2018-05-01 16:08:06,11176.0
314,2018-05-01 16:17:51,99.0
327,2018-05-01 16:34:31,-31580.0
328,2018-05-01 16:34:35,64721.0
333,2018-05-01 16:52:15,2159.0
342,2018-05-01 17:10:58,30461.0
343,2018-05-01 17:17:53,-9963.0
344,2018-05-01 17:19:41,9967.0
347,2018-05-01 17:29:18,-342.0
351,2018-05-01 17:45:01,-2022.0
354,2018-05-01 17:52:46,2850.0
357,2018-05-01 17:56:16,582.0
370,2018-05-01 18:23:00,8517.0
371,2018-05-01 18:23:07,-31782.0
372,2018-05-01 18:23:11,31830.0
373,2018-05-01 18:24:55,-31866.0
374,2018-05-01 18:25:28,31962.0
375,2018-05-01 18:27:13,-9962.0
376,2018-05-01 18:27:20,9982.0
381,2018-05-01 18:43:29,3068.0
386,2018-05-01 19:01:51,117.0
389,2018-05-01 19:06:19,-30330.0
390,2018-05-01 19:10:22,-403.0
403,2018-05-01 19:28:20,-27333.0
411,2018-05-01 19:42:38,12727.0
412,2018-05-01 19:59:58,-10975.0
413,2018-05-01 20:01:14,10992.0
421,2018-05-01 20:32:15,-24189.0
422,2018-05-01 20:45:54,-307.0
436,2018-05-01 20:56:04,-41228.0
459,2018-05-01 21:39:26,-106945.0
472,2018-05-01 22:18:33,84320.0
492,2018-05-01 22:45:31,-8898.0
493,2018-05-01 22:59:47,-72816.0
494,2018-05-01 23:03:26,72964.0
512,2018-05-02 00:18:29,27057.0
515,2018-05-02 00:41:02,-4124.0
526,2018-05-02 01:17:09,24156.0
528,2018-05-02 01:36:00,2965.0
546,2018-05-02 02:02:01,-2233.0
555,2018-05-02 02:41:28,19204.0
558,2018-05-02 02:53:23,-114.0
559,2018-05-02 02:54:18,-354.0
571,2018-05-02 05:07:47,-43293.0
581,2018-05-02 05:33:06,7421.0
583,2018-05-02 05:37:41,1111.0
588,2018-05-02 06:15:34,43755.0
589,2018-05-02 06:17:16,-12930.0
590,2018-05-02 06:17:48,12914.0
610,2018-05-02 06:31:47,6121.0
612,2018-05-02 06:34:22,708.0
618,2018-05-02 06:58:08,4304.0
619,2018-05-02 07:00:19,-54621.0
621,2018-05-02 07:06:17,54691.0
622,2018-05-02 07:27:44,-77267.0
625,2018-05-02 07:33:48,65652.0
632,2018-05-02 07:41:27,-51917.0
645,2018-05-02 08:35:10,-6601.0
648,2018-05-02 08:45:03,3108.0
656,2018-05-02 09:19:24,-45293.0
657,2018-05-02 09:19:43,57675.0
681,2018-05-02 10:43:39,-37506.0
695,2018-05-02 11:01:45,20102.0
701,2018-05-02 11:09:33,-1065.0
706,2018-05-02 11:15:55,14622.0
707,2018-05-02 11:16:33,-61237.0
710,2018-05-02 11:20:49,58140.0
711,2018-05-02 11:24:49,-10848.0
718,2018-05-02 11:56:11,74642.0
732,2018-05-02 12:57:52,51674.0
735,2018-05-02 14:20:16,-600.0
747,2018-05-02 14:52:55,-14664.0
758,2018-05-02 15:14:59,25005.0
766,2018-05-02 15:54:09,20853.0
774,2018-05-02 16:05:21,-18666.0
777,2018-05-02 16:25:16,-311.0
787,2018-05-02 16:48:52,-6803.0
803,2018-05-02 17:58:34,-46404.0
804,2018-05-02 18:03:04,-34948.0
805,2018-05-02 18:03:14,15976.0
806,2018-05-02 18:03:18,18960.0
807,2018-05-02 18:07:32,-9963.0
808,2018-05-02 18:13:50,9961.0
818,2018-05-02 18:43:17,8543.0
820,2018-05-02 18:50:31,-6030.0
824,2018-05-02 19:10:34,-128.0
825,2018-05-02 19:11:01,-32074.0
826,2018-05-02 19:11:20,32054.0
829,2018-05-02 19:14:32,12181.0
830,2018-05-02 19:26:02,-20024.0
832,2018-05-02 19:29:40,-14979.0
833,2018-05-02 19:36:36,435.0
834,2018-05-02 19:36:36,34614.0
837,2018-05-02 19:40:00,1623.0
853,2018-05-02 20:11:11,5838.0
855,2018-05-02 20:21:11,-58849.0
856,2018-05-02 20:21:11,57959.0
861,2018-05-02 21:01:00,-4557.0
862,2018-05-02 21:32:22,-46793.0
863,2018-05-02 21:43:07,46878.0
864,2018-05-02 21:50:35,-40861.0
865,2018-05-02 21:51:40,40848.0
866,2018-05-02 21:53:48,-97324.0
872,2018-05-02 22:01:27,121445.0
874,2018-05-02 22:07:29,1245.0
875,2018-05-02 22:11:28,-90445.0
876,2018-05-02 22:11:50,90427.0
878,2018-05-02 22:15:51,3139.0
879,2018-05-02 22:17:05,-19844.0
889,2018-05-02 22:23:44,19985.0
894,2018-05-02 22:44:44,-4344.0
896,2018-05-02 22:51:30,4090.0
