,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
# of trans.,823.0,18367.0,33149.0,27790.0,23295.0,8779.0,9467.0
# of buy trans.,409.0,10757.0,20453.0,16238.0,14868.0,5587.0,5247.0
# of sell trans.,414.0,7610.0,12696.0,11552.0,8427.0,3192.0,4220.0
cumsum_profit,,20057445.0,3562946.0,23967448.0,11999306.0,4513842.0,463063.0
point_cumsum_profit,,2385.0,-31333.0,-89836.0,86556.0,56.0,87341.0
positive amount,10259898.0,39817915902.0,60669715599.0,45635560225.0,36634276516.0,12917194088.0,11622590281.0
negative amount,-7375346.0,-39797858457.0,-60657579097.0,-45609884185.0,-36622277210.0,-12912680246.0,-11622096132.0
coin of 1 tras.,0.00136328227217497,0.36250535148636137,0.37065456331201546,0.3851542489899244,0.3291892953719682,0.39093720788244674,0.3375046865649097
coin of 1 buy trans.,0.0015694827139364305,0.30947920936599427,0.3003234156896299,0.32958421968530605,0.2578848746993543,0.30714495223196703,0.30437934747665335
coin of 1 sell tras.,-0.0011595721739130432,-0.4374596498817346,-0.48395662398629485,-0.463265929724723,-0.45499374850599267,-0.5375999059774436,-0.37869157144549764
