,2018-04,2018-05,2018-06,2018-07
# of trans.,17802.0,21716.0,4016.0,693.0
# of buy trans.,9859.0,12457.0,2298.0,410.0
# of sell trans.,7943.0,9259.0,1718.0,283.0
cumsum_profit,26531231.0,26790133.0,,283770.0
point_cumsum_profit,458.0,-21226.0,,12058.0
positive amount,31134212201.0,36779974440.0,5982790055.0,600733901.0
negative amount,-31127884338.0,-36755751094.0,-5966645458.0,-600450131.0
coin of 1 tras.,184.68292993396418,195.54757809860467,210.3672099355204,177.17513437685426
coin of 1 buy trans.,166.6865564018795,170.439419884184,184.07707014768062,149.7345952864878
coin of 1 sell tras.,-207.0203649903437,-229.3279352513252,-245.53294988456344,-216.92997899540634
