,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
# of trans.,19145.0,12215.0,8658.0,5054.0,3985.0,3672.0
# of buy trans.,11598.0,7745.0,4774.0,2759.0,2357.0,2081.0
# of sell trans.,7535.0,4461.0,3876.0,2294.0,1628.0,1589.0
cumsum_profit,400090.0,2958947.0,1673592.0,10510.0,5164420.0,-683606.0
point_cumsum_profit,6045.0,89066.0,2230.0,-175.0,34094.0,-80240.0
positive amount,13243152231.0,10694677228.0,6606541721.0,2966715367.0,2502762133.0,1849349267.0
negative amount,-13249752210.0,-10680392607.0,-6575624895.0,-2980863347.0,-2488491381.0,-1850032873.0
coin of 1 tras.,0.16271326027787936,0.23469482569381908,0.20259829090321088,0.15975957289275822,0.20465262590213298,0.22620501566721132
coin of 1 buy trans.,0.13426256674943957,0.1851311574306004,0.18413238545454544,0.14596319028271112,0.1734282433983878,0.1995734685583854
coin of 1 sell tras.,-0.2067641829754479,-0.32121866878278416,-0.22576057644994837,-0.17642216190061027,-0.24985893398648648,-0.2613671675707992
,
