,timestamp,point_amount_cumsum
1,2018-07-01 02:05:54,225.0
4,2018-07-01 02:46:33,0.0
5,2018-07-01 03:42:06,-708.0
9,2018-07-01 05:40:53,4148.0
12,2018-07-01 05:57:11,4458.0
13,2018-07-01 08:19:36,-712.0
19,2018-07-01 09:12:09,15773.0
21,2018-07-01 09:22:00,-120.0
22,2018-07-01 09:36:28,-712.0
23,2018-07-01 09:37:09,-34854.0
26,2018-07-01 09:39:19,36103.0
27,2018-07-01 09:39:41,-7131.0
33,2018-07-01 09:49:19,10662.0
34,2018-07-01 09:57:31,-47166.0
35,2018-07-01 09:58:08,47078.0
96,2018-07-01 12:58:45,5667.0
102,2018-07-01 14:48:23,18244.0
103,2018-07-01 14:49:46,-24171.0
104,2018-07-01 14:50:44,-442.0
112,2018-07-01 14:59:50,29455.0
113,2018-07-01 15:17:29,-47697.0
114,2018-07-01 15:17:54,47677.0
117,2018-07-01 15:33:30,-158.0
118,2018-07-01 15:38:33,-39827.0
119,2018-07-01 15:38:37,-1423.0
126,2018-07-01 15:48:33,39895.0
127,2018-07-01 16:02:51,-42648.0
128,2018-07-01 16:08:25,42666.0
131,2018-07-01 16:29:33,540.0
132,2018-07-01 18:26:49,-46261.0
133,2018-07-01 18:31:24,46248.0
135,2018-07-01 18:59:10,1206.0
139,2018-07-01 19:23:03,107.0
150,2018-07-01 19:59:21,9639.0
152,2018-07-01 20:12:00,40.0
155,2018-07-01 23:27:45,-47071.0
156,2018-07-01 23:36:57,-53969.0
162,2018-07-01 23:40:46,54203.0
197,2018-07-02 00:45:45,-86564.0
221,2018-07-02 02:19:13,98052.0
226,2018-07-02 02:51:16,518.0
252,2018-07-02 05:17:52,41323.0
254,2018-07-02 05:30:38,181.0
259,2018-07-02 05:41:08,372.0
262,2018-07-02 05:47:19,-3299.0
264,2018-07-02 06:02:23,-49441.0
265,2018-07-02 06:02:23,49462.0
285,2018-07-02 06:39:07,13861.0
288,2018-07-02 09:02:42,-116.0
289,2018-07-02 09:06:28,-706.0
320,2018-07-02 09:46:48,-34050.0
341,2018-07-02 10:43:55,-9910.0
350,2018-07-02 11:25:07,3389.0
352,2018-07-02 13:01:38,-27379.0
353,2018-07-02 13:07:12,28212.0
360,2018-07-02 14:03:24,2256.0
372,2018-07-02 15:17:36,-60947.0
373,2018-07-02 15:17:36,58775.0
374,2018-07-02 15:19:24,-42006.0
375,2018-07-02 15:20:22,30083.0
376,2018-07-02 15:20:23,11893.0
377,2018-07-02 15:50:00,-29530.0
386,2018-07-02 16:01:17,28276.0
399,2018-07-02 17:08:58,41903.0
402,2018-07-02 17:43:13,329.0
418,2018-07-02 20:17:03,32317.0
424,2018-07-02 22:05:21,3006.0
429,2018-07-02 22:24:33,28000.0
438,2018-07-02 22:30:56,438516.0
439,2018-07-02 22:33:06,-44826.0
440,2018-07-02 22:34:05,44758.0
444,2018-07-02 22:35:24,10399.0
449,2018-07-02 22:37:01,-43470.0
450,2018-07-02 22:38:35,44225.0
451,2018-07-02 22:45:11,-59.0
461,2018-07-02 22:45:35,11579.0
487,2018-07-02 22:57:55,-112161.0
496,2018-07-02 23:08:09,155080.0
498,2018-07-02 23:12:09,264.0
499,2018-07-02 23:12:58,-7332.0
500,2018-07-02 23:12:58,-13198.0
501,2018-07-02 23:13:02,-19796.0
509,2018-07-02 23:14:21,-43581.0
511,2018-07-02 23:16:24,-5000.0
516,2018-07-02 23:18:26,-1267.0
519,2018-07-02 23:23:59,-440.0
524,2018-07-02 23:30:42,9697.0
529,2018-07-02 23:42:57,12034.0
533,2018-07-03 00:13:31,-1154.0
542,2018-07-03 00:45:05,31080.0
558,2018-07-03 01:12:31,-72815.0
561,2018-07-03 01:13:47,47503.0
562,2018-07-03 01:16:22,-43380.0
564,2018-07-03 01:18:40,42990.0
587,2018-07-03 01:36:58,-358.0
594,2018-07-03 01:52:24,17594.0
597,2018-07-03 01:59:36,-3252.0
620,2018-07-03 03:12:56,119973.0
635,2018-07-03 03:28:34,-441.0
640,2018-07-03 03:31:45,-1183.0
642,2018-07-03 03:35:54,1405.0
654,2018-07-03 04:09:06,3233.0
666,2018-07-03 04:19:51,14799.0
704,2018-07-03 04:43:21,-24655.0
706,2018-07-03 04:52:52,-435.0
710,2018-07-03 05:19:40,330.0
762,2018-07-03 07:04:48,-115913.0
775,2018-07-03 07:06:23,-52750.0
781,2018-07-03 07:09:28,-3308.0
787,2018-07-03 07:11:30,-6655.0
822,2018-07-03 07:28:42,-87859.0
824,2018-07-03 07:31:13,-130.0
826,2018-07-03 07:32:16,-247.0
827,2018-07-03 07:36:51,-53680.0
828,2018-07-03 07:37:00,53620.0
832,2018-07-03 07:39:05,-1955.0
843,2018-07-03 07:41:22,-15244.0
859,2018-07-03 07:46:52,-25279.0
863,2018-07-03 07:48:31,-348.0
866,2018-07-03 07:50:03,-2093.0
869,2018-07-03 07:52:23,-4832.0
880,2018-07-03 07:58:31,-9060.0
882,2018-07-03 08:02:39,-4053.0
886,2018-07-03 08:09:23,-557.0
888,2018-07-03 08:23:11,-100.0
907,2018-07-03 08:32:54,15443.0
913,2018-07-03 08:34:19,-2756.0
969,2018-07-03 11:00:32,180904.0
970,2018-07-03 11:11:35,-7326.0
971,2018-07-03 11:12:15,7321.0
973,2018-07-03 11:13:33,0.0
975,2018-07-03 11:15:23,3312.0
978,2018-07-03 11:56:09,-66742.0
979,2018-07-03 11:56:09,68281.0
990,2018-07-03 12:08:10,11512.0
995,2018-07-03 12:33:59,-5027.0
999,2018-07-03 12:36:20,6228.0
1001,2018-07-03 12:40:05,210.0
1003,2018-07-03 12:48:17,346.0
1054,2018-07-03 14:03:25,5369.0
1059,2018-07-03 15:08:51,-2282.0
1067,2018-07-03 15:21:08,3987.0
1088,2018-07-03 16:09:43,17602.0
1099,2018-07-03 16:26:29,-1684.0
1102,2018-07-03 17:09:19,17820.0
1114,2018-07-03 17:33:12,-2434.0
1123,2018-07-03 17:56:52,-53260.0
1124,2018-07-03 17:58:29,48319.0
1136,2018-07-03 18:43:33,-18243.0
1142,2018-07-03 19:09:24,-6744.0
1151,2018-07-03 19:26:33,17185.0
1203,2018-07-03 20:59:22,99864.0
1217,2018-07-03 22:04:28,27138.0
1222,2018-07-03 22:32:38,-2553.0
1223,2018-07-03 22:33:55,-43338.0
1233,2018-07-03 22:44:53,2396.0
1246,2018-07-03 23:22:46,16586.0
1247,2018-07-03 23:28:34,-505.0
1265,2018-07-03 23:51:49,30106.0
1305,2018-07-04 01:00:43,20697.0
1316,2018-07-04 01:10:21,53281.0
1317,2018-07-04 01:39:34,-34963.0
1324,2018-07-04 01:42:18,34234.0
1333,2018-07-04 02:06:39,2068.0
1338,2018-07-04 03:09:09,-1973.0
1339,2018-07-04 03:16:41,-65331.0
1340,2018-07-04 03:18:21,65340.0
1342,2018-07-04 03:19:20,-2428.0
1343,2018-07-04 03:19:40,-29048.0
1344,2018-07-04 03:21:32,29040.0
1345,2018-07-04 03:35:45,-29068.0
1346,2018-07-04 03:40:16,29044.0
1348,2018-07-04 03:51:56,-2087.0
1354,2018-07-04 04:37:08,5319.0
1357,2018-07-04 04:43:23,4567.0
1359,2018-07-04 04:46:51,-1146.0
1360,2018-07-04 04:49:17,-38695.0
1369,2018-07-04 04:53:15,38515.0
1402,2018-07-04 05:45:30,54140.0
1403,2018-07-04 06:05:23,-32098.0
1404,2018-07-04 06:05:38,18959.0
1409,2018-07-04 06:10:22,10760.0
1410,2018-07-04 06:10:27,-37872.0
1411,2018-07-04 06:11:34,37794.0
1438,2018-07-04 06:41:35,13540.0
1440,2018-07-04 06:44:10,0.0
1462,2018-07-04 07:38:24,-45867.0
1469,2018-07-04 07:43:27,-4898.0
1470,2018-07-04 07:44:30,-27269.0
1474,2018-07-04 07:46:19,35195.0
1511,2018-07-04 08:48:12,-28157.0
1516,2018-07-04 08:51:27,-4921.0
1596,2018-07-04 10:19:09,-399961.0
1609,2018-07-04 10:28:08,35868.0
1617,2018-07-04 10:38:19,4356.0
1654,2018-07-04 11:36:29,-18531.0
1655,2018-07-04 11:40:06,-63154.0
1673,2018-07-04 12:28:34,87341.0
