,timestamp,point_amount_cumsum
9,2018-05-01 00:04:44,98622.0
18,2018-05-01 00:07:28,-72426.0
22,2018-05-01 00:11:13,-16520.0
25,2018-05-01 00:13:27,25000.0
37,2018-05-01 00:16:30,78987.0
46,2018-05-01 00:23:33,38956.0
118,2018-05-01 01:04:36,-370309.0
128,2018-05-01 01:12:29,110808.0
191,2018-05-01 01:50:24,333015.0
208,2018-05-01 02:01:51,-84648.0
283,2018-05-01 02:54:46,168304.0
304,2018-05-01 03:13:04,89105.0
310,2018-05-01 03:15:14,-8530.0
355,2018-05-01 03:48:33,-447841.0
364,2018-05-01 03:51:56,25629.0
430,2018-05-01 04:39:20,239040.0
445,2018-05-01 05:18:15,-46738.0
463,2018-05-01 05:36:09,245665.0
478,2018-05-01 05:48:49,11566.0
509,2018-05-01 05:59:56,300298.0
519,2018-05-01 06:05:49,335204.0
527,2018-05-01 06:08:19,19408.0
537,2018-05-01 06:11:04,-23586.0
558,2018-05-01 06:20:08,307478.0
561,2018-05-01 06:22:51,323374.0
570,2018-05-01 06:26:30,-27311.0
608,2018-05-01 06:45:10,-182981.0
616,2018-05-01 06:57:25,220902.0
627,2018-05-01 07:08:12,-183882.0
633,2018-05-01 07:10:27,6127.0
666,2018-05-01 07:25:25,-13469.0
673,2018-05-01 07:30:27,49404.0
699,2018-05-01 07:38:20,181349.0
717,2018-05-01 07:46:27,283810.0
723,2018-05-01 07:50:04,158274.0
746,2018-05-01 07:52:55,110576.0
749,2018-05-01 07:54:27,-155000.0
781,2018-05-01 08:13:27,410407.0
813,2018-05-01 08:29:41,9585.0
819,2018-05-01 08:31:06,-72340.0
830,2018-05-01 08:34:48,-73406.0
863,2018-05-01 08:42:31,-392055.0
866,2018-05-01 08:44:36,260000.0
874,2018-05-01 08:45:32,-44926.0
892,2018-05-01 08:53:39,41372.0
914,2018-05-01 08:58:56,-89743.0
948,2018-05-01 09:10:44,436494.0
956,2018-05-01 09:16:58,173709.0
967,2018-05-01 09:21:28,70732.0
985,2018-05-01 09:29:46,194132.0
1031,2018-05-01 09:51:35,157314.0
1043,2018-05-01 09:58:06,445396.0
1068,2018-05-01 10:02:25,42154.0
1092,2018-05-01 10:08:55,21776.0
4118,2018-05-02 14:56:34,3595921.0
4472,2018-05-02 18:25:15,601927.0
6172,2018-05-03 13:55:50,-182812.0
11514,2018-05-06 00:42:25,5634181.0
14334,2018-05-17 11:50:25,5357010.0
14340,2018-05-17 12:08:26,-146096.0
14343,2018-05-17 12:11:53,10000.0
14351,2018-05-17 12:32:15,199598.0
14389,2018-05-17 13:22:06,67725.0
14411,2018-05-17 14:34:48,30768.0
