,timestamp,point_amount_cumsum
29,2018-09-01 01:06:00,131767.0
45,2018-09-01 01:17:00,29384.0
46,2018-09-01 01:24:00,58321.0
81,2018-09-01 02:45:00,-218935.0
90,2018-09-01 03:28:00,-19372.0
206,2018-09-01 18:20:00,-8715.0
303,2018-09-01 23:55:00,-197882.0
307,2018-09-02 00:01:00,-203734.0
308,2018-09-02 00:02:00,49977.0
309,2018-09-02 00:02:00,25003.0
451,2018-09-02 09:55:00,-38316.0
474,2018-09-02 11:02:00,110206.0
506,2018-09-02 13:13:00,-288000.0
543,2018-09-02 18:42:00,-233829.0
805,2018-09-03 15:44:00,505450.0
810,2018-09-03 16:08:00,-2196.0
831,2018-09-03 17:52:00,44958.0
832,2018-09-03 17:53:00,2871.0
889,2018-09-04 04:21:00,-259926.0
1024,2018-09-04 06:45:00,33982.0
1136,2018-09-04 18:57:00,-220338.0
1188,2018-09-05 04:03:00,-208156.0
1189,2018-09-05 05:05:00,9979.0
1257,2018-09-05 18:56:00,99383.0
1258,2018-09-05 19:00:00,8015.0
1301,2018-09-05 19:04:00,-150356.0
1302,2018-09-05 19:05:00,1152.0
1303,2018-09-05 19:08:00,2431.0
1304,2018-09-05 19:08:00,4041.0
1342,2018-09-05 19:35:00,-61737.0
1343,2018-09-05 19:37:00,49058.0
1408,2018-09-05 20:02:00,-16411.0
1441,2018-09-05 21:03:00,22290.0
1445,2018-09-05 21:25:00,5160.0
1530,2018-09-06 01:51:00,199590.0
1531,2018-09-06 01:51:00,51591.0
1733,2018-09-06 09:23:00,1469106.0
1734,2018-09-06 09:24:00,21290.0
1751,2018-09-06 09:28:00,34487.0
1783,2018-09-06 09:38:00,53609.0
1788,2018-09-06 09:44:00,108345.0
1919,2018-09-06 14:50:00,42210.0
1920,2018-09-06 14:59:00,8077.0
1961,2018-09-06 16:31:00,168675.0
2109,2018-09-07 08:18:00,-272448.0
2111,2018-09-07 09:22:00,101954.0
2195,2018-09-08 00:57:00,301209.0
2220,2018-09-08 02:29:00,54881.0
2301,2018-09-08 13:26:00,56834.0
2376,2018-09-09 02:50:00,262420.0
2377,2018-09-09 02:52:00,22614.0
2378,2018-09-09 02:55:00,36.0
2398,2018-09-09 03:33:00,31506.0
2447,2018-09-09 09:09:00,-133226.0
2448,2018-09-09 09:42:00,6552.0
2449,2018-09-09 09:42:00,48751.0
2542,2018-09-09 20:09:00,-613952.0
2627,2018-09-10 09:24:00,271319.0
2674,2018-09-10 19:30:00,179782.0
2760,2018-09-11 03:13:00,112964.0
2842,2018-09-11 23:58:00,19045.0
2867,2018-09-12 00:06:00,-56216.0
2868,2018-09-12 00:09:00,18378.0
3007,2018-09-12 11:25:00,35659.0
3018,2018-09-12 12:17:00,-13942.0
3019,2018-09-12 12:18:00,2293.0
3020,2018-09-12 12:31:00,11345.0
3021,2018-09-12 12:31:00,1099.0
3022,2018-09-12 12:32:00,2230.0
