,timestamp,amount_cumsum
1,2018-07-01 02:05:54,225
4,2018-07-01 02:46:33,225
5,2018-07-01 03:42:06,-483
9,2018-07-01 05:40:53,3665
12,2018-07-01 05:57:11,8123
13,2018-07-01 08:19:36,7411
19,2018-07-01 09:12:09,23184
21,2018-07-01 09:22:00,23064
22,2018-07-01 09:36:28,22352
23,2018-07-01 09:37:09,-12502
26,2018-07-01 09:39:19,23601
27,2018-07-01 09:39:41,16470
33,2018-07-01 09:49:19,27132
34,2018-07-01 09:57:31,-20034
35,2018-07-01 09:58:08,27044
96,2018-07-01 12:58:45,32711
102,2018-07-01 14:48:23,50955
103,2018-07-01 14:49:46,26784
104,2018-07-01 14:50:44,26342
112,2018-07-01 14:59:50,55797
113,2018-07-01 15:17:29,8100
114,2018-07-01 15:17:54,55777
117,2018-07-01 15:33:30,55619
118,2018-07-01 15:38:33,15792
119,2018-07-01 15:38:37,14369
126,2018-07-01 15:48:33,54264
127,2018-07-01 16:02:51,11616
128,2018-07-01 16:08:25,54282
131,2018-07-01 16:29:33,54822
132,2018-07-01 18:26:49,8561
133,2018-07-01 18:31:24,54809
135,2018-07-01 18:59:10,56015
139,2018-07-01 19:23:03,56122
150,2018-07-01 19:59:21,65761
152,2018-07-01 20:12:00,65801
155,2018-07-01 23:27:45,18730
156,2018-07-01 23:36:57,-35239
162,2018-07-01 23:40:46,18964
197,2018-07-02 00:45:45,-67600
221,2018-07-02 02:19:13,30452
226,2018-07-02 02:51:16,30970
252,2018-07-02 05:17:52,72293
254,2018-07-02 05:30:38,72474
259,2018-07-02 05:41:08,72846
262,2018-07-02 05:47:19,69547
264,2018-07-02 06:02:23,20106
265,2018-07-02 06:02:23,69568
285,2018-07-02 06:39:07,83429
288,2018-07-02 09:02:42,83313
289,2018-07-02 09:06:28,82607
320,2018-07-02 09:46:48,48557
341,2018-07-02 10:43:55,38647
350,2018-07-02 11:25:07,42036
352,2018-07-02 13:01:38,14657
353,2018-07-02 13:07:12,42869
360,2018-07-02 14:03:24,45125
372,2018-07-02 15:17:36,-15822
373,2018-07-02 15:17:36,42953
374,2018-07-02 15:19:24,947
375,2018-07-02 15:20:22,31030
376,2018-07-02 15:20:23,42923
377,2018-07-02 15:50:00,13393
386,2018-07-02 16:01:17,41669
399,2018-07-02 17:08:58,83572
402,2018-07-02 17:43:13,83901
418,2018-07-02 20:17:03,116218
424,2018-07-02 22:05:21,119224
429,2018-07-02 22:24:33,147224
438,2018-07-02 22:30:56,585740
439,2018-07-02 22:33:06,540914
440,2018-07-02 22:34:05,585672
444,2018-07-02 22:35:24,596071
449,2018-07-02 22:37:01,552601
450,2018-07-02 22:38:35,596826
451,2018-07-02 22:45:11,596767
461,2018-07-02 22:45:35,608346
487,2018-07-02 22:57:55,496185
496,2018-07-02 23:08:09,651265
498,2018-07-02 23:12:09,651529
499,2018-07-02 23:12:58,644197
500,2018-07-02 23:12:58,630999
501,2018-07-02 23:13:02,611203
509,2018-07-02 23:14:21,567622
511,2018-07-02 23:16:24,562622
516,2018-07-02 23:18:26,561355
519,2018-07-02 23:23:59,560915
524,2018-07-02 23:30:42,570612
529,2018-07-02 23:42:57,582646
533,2018-07-03 00:13:31,581492
542,2018-07-03 00:45:05,612572
558,2018-07-03 01:12:31,539757
561,2018-07-03 01:13:47,587260
562,2018-07-03 01:16:22,543880
564,2018-07-03 01:18:40,586870
587,2018-07-03 01:36:58,586512
594,2018-07-03 01:52:24,604106
597,2018-07-03 01:59:36,600854
620,2018-07-03 03:12:56,720827
635,2018-07-03 03:28:34,720386
640,2018-07-03 03:31:45,719203
642,2018-07-03 03:35:54,720608
654,2018-07-03 04:09:06,723841
666,2018-07-03 04:19:51,738640
704,2018-07-03 04:43:21,713985
706,2018-07-03 04:52:52,713550
710,2018-07-03 05:19:40,713880
762,2018-07-03 07:04:48,597967
775,2018-07-03 07:06:23,545217
781,2018-07-03 07:09:28,541909
787,2018-07-03 07:11:30,535254
822,2018-07-03 07:28:42,447395
824,2018-07-03 07:31:13,447265
826,2018-07-03 07:32:16,447018
827,2018-07-03 07:36:51,393338
828,2018-07-03 07:37:00,446958
832,2018-07-03 07:39:05,445003
843,2018-07-03 07:41:22,429759
859,2018-07-03 07:46:52,404480
863,2018-07-03 07:48:31,404132
866,2018-07-03 07:50:03,402039
869,2018-07-03 07:52:23,397207
880,2018-07-03 07:58:31,388147
882,2018-07-03 08:02:39,384094
886,2018-07-03 08:09:23,383537
888,2018-07-03 08:23:11,383437
907,2018-07-03 08:32:54,398880
913,2018-07-03 08:34:19,396124
969,2018-07-03 11:00:32,577028
970,2018-07-03 11:11:35,569702
971,2018-07-03 11:12:15,577023
973,2018-07-03 11:13:33,577023
975,2018-07-03 11:15:23,580335
978,2018-07-03 11:56:09,513593
979,2018-07-03 11:56:09,581874
990,2018-07-03 12:08:10,593386
995,2018-07-03 12:33:59,588359
999,2018-07-03 12:36:20,594587
1001,2018-07-03 12:40:05,594797
1003,2018-07-03 12:48:17,595143
1054,2018-07-03 14:03:25,600512
1059,2018-07-03 15:08:51,598230
1067,2018-07-03 15:21:08,602217
1088,2018-07-03 16:09:43,619819
1099,2018-07-03 16:26:29,618135
1102,2018-07-03 17:09:19,635955
1114,2018-07-03 17:33:12,633521
1123,2018-07-03 17:56:52,580261
1124,2018-07-03 17:58:29,628580
1136,2018-07-03 18:43:33,610337
1142,2018-07-03 19:09:24,603593
1151,2018-07-03 19:26:33,620778
1203,2018-07-03 20:59:22,720642
1217,2018-07-03 22:04:28,747780
1222,2018-07-03 22:32:38,745227
1223,2018-07-03 22:33:55,701889
1233,2018-07-03 22:44:53,704285
1246,2018-07-03 23:22:46,720871
1247,2018-07-03 23:28:34,720366
1265,2018-07-03 23:51:49,750472
1305,2018-07-04 01:00:43,771169
1316,2018-07-04 01:10:21,824450
1317,2018-07-04 01:39:34,789487
1324,2018-07-04 01:42:18,823721
1333,2018-07-04 02:06:39,825789
1338,2018-07-04 03:09:09,823816
1339,2018-07-04 03:16:41,758485
1340,2018-07-04 03:18:21,823825
1342,2018-07-04 03:19:20,821397
1343,2018-07-04 03:19:40,792349
1344,2018-07-04 03:21:32,821389
1345,2018-07-04 03:35:45,792321
1346,2018-07-04 03:40:16,821365
1348,2018-07-04 03:51:56,819278
1354,2018-07-04 04:37:08,824597
1357,2018-07-04 04:43:23,829164
1359,2018-07-04 04:46:51,828018
1360,2018-07-04 04:49:17,789323
1369,2018-07-04 04:53:15,827838
1402,2018-07-04 05:45:30,881978
1403,2018-07-04 06:05:23,849880
1404,2018-07-04 06:05:38,868839
1409,2018-07-04 06:10:22,879599
1410,2018-07-04 06:10:27,841727
1411,2018-07-04 06:11:34,879521
1438,2018-07-04 06:41:35,893061
1440,2018-07-04 06:44:10,893061
1462,2018-07-04 07:38:24,847194
1469,2018-07-04 07:43:27,842296
1470,2018-07-04 07:44:30,815027
1474,2018-07-04 07:46:19,850222
1511,2018-07-04 08:48:12,822065
1516,2018-07-04 08:51:27,817144
1596,2018-07-04 10:19:09,417183
1609,2018-07-04 10:28:08,453051
1617,2018-07-04 10:38:19,457407
1654,2018-07-04 11:36:29,438876
1655,2018-07-04 11:40:06,375722
1673,2018-07-04 12:28:34,463063
