,timestamp,amount_cumsum
1,2018-07-03 12:45:24,65000
9,2018-07-03 12:49:07,80000
13,2018-07-03 12:59:50,69999
21,2018-07-03 13:00:39,61154
23,2018-07-03 13:12:43,46154
27,2018-07-03 13:40:29,53697
31,2018-07-03 13:42:49,48697
33,2018-07-03 13:46:12,38697
35,2018-07-03 14:23:37,73697
38,2018-07-03 14:50:22,72640
43,2018-07-03 16:07:41,75255
46,2018-07-03 16:22:54,60255
48,2018-07-03 16:53:41,62179
50,2018-07-03 18:27:29,53179
52,2018-07-03 19:11:34,62838
55,2018-07-03 19:16:33,82748
57,2018-07-03 19:34:45,74715
61,2018-07-03 19:39:44,69715
64,2018-07-03 20:10:29,59715
67,2018-07-03 20:29:12,72844
71,2018-07-03 22:06:06,57844
74,2018-07-03 22:45:06,65667
76,2018-07-03 22:48:37,95667
81,2018-07-03 23:05:04,93581
85,2018-07-03 23:16:30,78581
87,2018-07-03 23:26:09,78581
98,2018-07-04 00:22:52,85878
100,2018-07-04 01:05:47,85878
107,2018-07-04 02:06:08,54196
109,2018-07-04 02:09:47,54083
111,2018-07-04 03:20:39,39083
113,2018-07-04 03:57:00,42762
117,2018-07-04 04:42:57,113936
121,2018-07-04 04:50:08,123936
125,2018-07-04 05:02:42,124034
128,2018-07-04 05:11:10,124094
133,2018-07-04 06:36:43,98421
136,2018-07-04 06:57:54,98202
140,2018-07-04 07:39:48,85138
154,2018-07-04 08:02:49,72511
156,2018-07-04 08:07:35,72220
159,2018-07-04 08:20:33,73276
161,2018-07-04 09:07:28,72690
166,2018-07-04 09:42:48,70147
170,2018-07-04 10:04:12,62053
174,2018-07-04 10:10:03,70970
181,2018-07-04 10:37:45,130871
188,2018-07-04 11:37:25,125147
191,2018-07-04 13:22:33,125776
200,2018-07-04 15:47:25,123916
203,2018-07-04 16:03:33,123853
209,2018-07-04 17:13:22,144110
218,2018-07-04 17:28:42,104249
229,2018-07-04 19:09:28,104876
232,2018-07-04 21:15:00,136092
234,2018-07-04 21:56:16,136332
245,2018-07-04 22:17:56,242992
248,2018-07-04 22:21:37,232992
252,2018-07-04 22:28:44,262899
256,2018-07-04 23:06:15,267899
259,2018-07-04 23:26:52,247899
261,2018-07-04 23:58:38,267899
263,2018-07-05 00:12:09,267456
266,2018-07-05 00:40:27,259377
273,2018-07-05 02:39:48,269775
275,2018-07-05 03:04:43,269775
278,2018-07-05 07:53:26,268571
281,2018-07-05 07:58:39,267732
284,2018-07-05 08:01:11,272043
286,2018-07-05 08:01:16,272103
288,2018-07-05 08:08:23,279772
290,2018-07-05 08:10:37,279712
293,2018-07-05 09:18:28,274712
295,2018-07-05 09:38:26,285634
299,2018-07-05 10:39:22,316977
302,2018-07-05 10:48:33,321977
309,2018-07-05 11:13:41,305787
313,2018-07-05 11:18:31,295786
315,2018-07-05 11:30:33,297661
317,2018-07-05 12:32:11,291661
320,2018-07-05 13:04:01,281661
322,2018-07-05 13:30:47,301661
328,2018-07-05 14:18:25,276661
336,2018-07-05 15:32:29,255278
340,2018-07-05 18:02:06,245278
347,2018-07-05 18:25:28,235278
351,2018-07-05 19:00:10,230278
355,2018-07-05 19:30:19,236122
358,2018-07-05 19:44:10,256122
363,2018-07-05 19:55:33,266564
368,2018-07-05 20:07:47,296564
373,2018-07-05 20:13:48,286750
375,2018-07-05 22:09:48,279098
377,2018-07-05 22:46:41,279188
380,2018-07-05 22:59:14,274578
382,2018-07-05 23:10:40,274896
384,2018-07-05 23:14:38,276852
393,2018-07-05 23:22:08,266852
395,2018-07-05 23:37:20,266852
399,2018-07-05 23:58:25,264322
402,2018-07-06 00:56:55,268030
407,2018-07-06 01:16:40,263030
411,2018-07-06 02:10:11,262750
413,2018-07-06 02:16:35,242750
419,2018-07-06 02:49:51,282094
421,2018-07-06 02:56:06,283202
424,2018-07-06 03:39:07,293202
427,2018-07-06 03:40:23,292375
430,2018-07-06 03:50:58,294927
433,2018-07-06 04:20:49,299927
439,2018-07-06 05:22:15,310094
448,2018-07-06 06:57:10,273610
451,2018-07-06 07:30:13,288468
454,2018-07-06 07:39:16,313468
456,2018-07-06 08:02:01,327439
461,2018-07-06 09:31:41,347168
462,2018-07-06 10:20:04,347167
473,2018-07-06 10:48:52,335835
476,2018-07-06 15:17:37,335469
483,2018-07-06 15:35:41,346180
485,2018-07-06 15:45:35,341180
489,2018-07-06 16:09:29,345589
491,2018-07-06 17:20:58,345674
503,2018-07-06 17:32:15,315694
508,2018-07-06 18:05:36,315695
515,2018-07-06 21:07:28,325694
529,2018-07-06 22:40:23,316182
534,2018-07-06 23:48:43,296182
539,2018-07-07 00:07:01,294062
541,2018-07-07 00:18:36,294279
543,2018-07-07 01:47:20,294562
545,2018-07-07 02:13:12,293487
550,2018-07-07 02:45:28,323167
556,2018-07-07 03:14:29,298992
559,2018-07-07 03:19:53,295851
565,2018-07-07 07:22:27,284386
567,2018-07-07 07:41:29,284369
575,2018-07-07 08:50:50,279712
578,2018-07-07 09:20:52,279712
581,2018-07-07 10:04:52,260020
584,2018-07-07 11:01:54,255020
592,2018-07-07 13:09:17,253774
598,2018-07-07 14:51:50,250574
601,2018-07-07 17:17:05,260793
604,2018-07-07 21:26:12,225793
606,2018-07-07 22:15:37,225005
609,2018-07-07 22:16:55,223857
613,2018-07-07 22:45:22,233877
615,2018-07-07 23:50:44,233667
617,2018-07-08 00:38:41,218667
620,2018-07-08 02:49:10,228979
626,2018-07-08 07:28:47,233740
636,2018-07-08 08:27:38,291684
640,2018-07-08 08:28:54,301684
646,2018-07-08 08:32:34,305553
650,2018-07-08 08:40:49,296924
652,2018-07-08 08:45:08,298595
657,2018-07-08 09:19:36,328753
660,2018-07-08 09:33:49,318753
662,2018-07-08 09:37:22,308753
666,2018-07-08 09:54:35,303753
670,2018-07-08 10:09:00,283753
674,2018-07-08 12:06:14,270568
679,2018-07-08 14:33:19,270970
681,2018-07-08 15:24:50,275308
684,2018-07-08 16:56:37,270507
686,2018-07-08 19:01:12,271712
692,2018-07-08 21:01:09,283770
