,timestamp,amount_cumsum
29,2018-09-01 01:06:00,131767
45,2018-09-01 01:17:00,161151
46,2018-09-01 01:24:00,219472
81,2018-09-01 02:45:00,537
90,2018-09-01 03:28:00,-18835
206,2018-09-01 18:20:00,-27550
303,2018-09-01 23:55:00,-225432
307,2018-09-02 00:01:00,-429166
308,2018-09-02 00:02:00,-379189
309,2018-09-02 00:02:00,-354186
451,2018-09-02 09:55:00,-392502
474,2018-09-02 11:02:00,-282296
506,2018-09-02 13:13:00,-570296
543,2018-09-02 18:42:00,-804125
805,2018-09-03 15:44:00,-298675
810,2018-09-03 16:08:00,-300871
831,2018-09-03 17:52:00,-255913
832,2018-09-03 17:53:00,-253042
889,2018-09-04 04:21:00,-512968
1024,2018-09-04 06:45:00,-478986
1136,2018-09-04 18:57:00,-699324
1188,2018-09-05 04:03:00,-907480
1189,2018-09-05 05:05:00,-897501
1257,2018-09-05 18:56:00,-798118
1258,2018-09-05 19:00:00,-790103
1301,2018-09-05 19:04:00,-940459
1302,2018-09-05 19:05:00,-939307
1303,2018-09-05 19:08:00,-936876
1304,2018-09-05 19:08:00,-932835
1342,2018-09-05 19:35:00,-994572
1343,2018-09-05 19:37:00,-945514
1408,2018-09-05 20:02:00,-961925
1441,2018-09-05 21:03:00,-939635
1445,2018-09-05 21:25:00,-934475
1530,2018-09-06 01:51:00,-734885
1531,2018-09-06 01:51:00,-683294
1733,2018-09-06 09:23:00,785812
1734,2018-09-06 09:24:00,807102
1751,2018-09-06 09:28:00,841589
1783,2018-09-06 09:38:00,895198
1788,2018-09-06 09:44:00,1003543
1919,2018-09-06 14:50:00,1045753
1920,2018-09-06 14:59:00,1053830
1961,2018-09-06 16:31:00,1222505
2109,2018-09-07 08:18:00,950057
2111,2018-09-07 09:22:00,1052011
2195,2018-09-08 00:57:00,1353220
2220,2018-09-08 02:29:00,1408101
2301,2018-09-08 13:26:00,1464935
2376,2018-09-09 02:50:00,1727355
2377,2018-09-09 02:52:00,1749969
2378,2018-09-09 02:55:00,1750005
2398,2018-09-09 03:33:00,1781511
2447,2018-09-09 09:09:00,1648285
2448,2018-09-09 09:42:00,1654837
2449,2018-09-09 09:42:00,1703588
2542,2018-09-09 20:09:00,1089636
2627,2018-09-10 09:24:00,1360955
2674,2018-09-10 19:30:00,1540737
2760,2018-09-11 03:13:00,1653701
2842,2018-09-11 23:58:00,1672746
2867,2018-09-12 00:06:00,1616530
2868,2018-09-12 00:09:00,1634908
3007,2018-09-12 11:25:00,1670567
3018,2018-09-12 12:17:00,1656625
3019,2018-09-12 12:18:00,1658918
3020,2018-09-12 12:31:00,1670263
3021,2018-09-12 12:31:00,1671362
3022,2018-09-12 12:32:00,1673592
