,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-01-01,0,0,0,0,0,0
2018-01-02,0,0,0,0,0,0
2018-01-03,0,0,0,0,0,0
2018-01-04,0,0,0,0,0,0
2018-01-05,0,0,0,0,0,0
2018-01-06,0,0,0,0,0,0
2018-01-07,0,0,0,0,0,0
2018-01-08,0,0,0,0,0,0
2018-01-09,0,0,0,0,0,0
2018-01-10,0,0,0,0,0,0
2018-01-11,0,0,0,0,0,0
2018-01-12,0,0,0,0,0,0
2018-01-13,0,0,0,0,0,0
2018-01-14,0,0,0,0,0,0
2018-01-15,0,0,0,0,0,0
2018-01-16,0,0,0,0,0,0
2018-01-17,0,0,0,0,0,0
2018-01-18,0,0,0,0,0,0
2018-01-19,40,1052348,21,1334332,19,-281984
2018-01-20,153,426,76,1239191,77,-1238765
2018-01-21,154,-1741,76,1201705,78,-1203446
2018-01-22,69,-14922,34,480676,35,-495598
2018-01-23,96,899,48,633072,48,-632173
2018-01-24,86,-1680,42,565300,44,-566980
2018-01-25,217,11247,109,1442316,108,-1431069
2018-01-26,0,0,0,0,0,0
2018-01-27,0,0,0,0,0,0
2018-01-28,0,0,0,0,0,0
2018-01-29,0,0,0,0,0,0
2018-01-30,0,0,0,0,0,0
2018-01-31,4,-86,2,22176,2,-22262
