,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-04-01,0,0,0,0,0,0
2018-04-02,0,0,0,0,0,0
2018-04-03,0,0,0,0,0,0
2018-04-04,0,0,0,0,0,0
2018-04-05,0,0,0,0,0,0
2018-04-06,0,0,0,0,0,0
2018-04-07,0,0,0,0,0,0
2018-04-08,0,0,0,0,0,0
2018-04-09,0,0,0,0,0,0
2018-04-10,0,0,0,0,0,0
2018-04-11,0,0,0,0,0,0
2018-04-12,0,0,0,0,0,0
2018-04-13,0,0,0,0,0,0
2018-04-14,0,0,0,0,0,0
2018-04-15,0,0,0,0,0,0
2018-04-16,0,0,0,0,0,0
2018-04-17,0,0,0,0,0,0
2018-04-18,0,0,0,0,0,0
2018-04-19,0,0,0,0,0,0
2018-04-20,0,0,0,0,0,0
2018-04-21,0,0,0,0,0,0
2018-04-22,0,0,0,0,0,0
2018-04-23,0,0,0,0,0,0
2018-04-24,776,1242054,444,1090806542,332,-1089564488
2018-04-25,3174,6249146,1783,4857663028,1391,-4851413882
2018-04-26,1952,3441337,1100,2813549693,852,-2810108356
2018-04-27,1482,2554152,760,2211727870,722,-2209173718
2018-04-28,3325,4397923,1843,6141105297,1482,-6136707374
2018-04-29,3796,6271461,2043,8043241558,1753,-8036970097
2018-04-30,3297,-17828210,1886,5976118213,1411,-5993946423
