,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-09-01,305,31478708,149,407057737,156,-375579029
2018-09-02,334,280638,214,326193777,120,-325913139
2018-09-03,224,330155,111,245203901,113,-244873746
2018-09-04,311,-892618,200,196869737,110,-197762355
2018-09-05,320,-16676711,184,414231617,136,-430908328
2018-09-06,542,15643173,320,545777405,221,-530134232
2018-09-07,156,729493,85,167697516,71,-166968023
2018-09-08,142,-12473177,90,128622140,52,-141095317
2018-09-09,237,11354961,139,237261872,98,-225906911
2018-09-10,166,589550,113,124989634,53,-124400084
2018-09-11,106,-28691426,59,93677067,47,-122368493
2018-09-12,293,28704755,236,193059997,57,-164355242
2018-09-13,161,-14652004,104,152529199,57,-167181203
2018-09-14,388,2938825,225,259790003,162,-256851178
2018-09-15,175,9893507,74,132597154,101,-122703647
2018-09-16,118,2197496,68,103778427,49,-101580931
2018-09-17,225,-14409042,117,110167425,108,-124576467
2018-09-18,240,13975566,154,211717649,86,-197742083
2018-09-19,126,378413,54,81332382,72,-80953969
2018-09-20,215,-406340,92,158600663,123,-159007003
2018-09-21,463,-3292340,255,340723118,207,-344015458
2018-09-22,675,-10955228,297,342829460,377,-353784688
2018-09-23,491,100452,248,266551925,243,-266451473
2018-09-24,253,3702421,115,170389615,138,-166687194
2018-09-25,455,11169768,262,342872487,193,-331702719
2018-09-26,481,92700,249,205973814,230,-205881114
2018-09-27,287,-9551313,159,138828892,128,-148380205
2018-09-28,391,-3377853,198,255362497,193,-258740350
2018-09-29,237,12671851,121,167483938,116,-154812087
2018-09-30,141,62446,82,84370673,59,-84308227
