,timestamp,point_amount_cumsum
6,2018-06-01 02:00:45,-702.0
8,2018-06-01 02:05:54,68.0
13,2018-06-01 03:43:16,-4739.0
57,2018-06-01 06:02:29,13870.0
74,2018-06-01 07:14:04,-147749.0
77,2018-06-01 07:26:29,-120.0
79,2018-06-01 07:35:36,0.0
169,2018-06-01 16:10:47,42226.0
171,2018-06-01 16:11:21,1494.0
173,2018-06-01 16:26:28,14.0
326,2018-06-02 02:48:31,6858.0
333,2018-06-02 03:26:48,48766.0
335,2018-06-02 03:57:06,3000.0
337,2018-06-02 04:15:32,-3.0
355,2018-06-02 05:35:38,24493.0
629,2018-06-03 09:01:01,83884.0
631,2018-06-03 10:47:00,60.0
643,2018-06-03 12:21:43,32797.0
648,2018-06-03 13:59:08,275.0
1041,2018-06-05 03:40:28,748.0
1056,2018-06-05 05:59:22,53226.0
1059,2018-06-05 06:25:08,1188.0
1066,2018-06-05 07:06:24,-9125.0
1074,2018-06-05 08:53:54,32950.0
1076,2018-06-05 09:11:14,184.0
1409,2018-06-06 17:23:23,276126.0
1420,2018-06-06 17:57:53,28750.0
1429,2018-06-06 18:28:38,22621.0
1436,2018-06-06 19:03:30,21168.0
1442,2018-06-06 19:24:32,5310.0
1446,2018-06-06 19:48:33,20414.0
1467,2018-06-06 20:18:30,13271.0
1761,2018-06-07 18:37:22,279344.0
1763,2018-06-07 18:49:26,-60.0
1772,2018-06-07 20:46:06,42623.0
1775,2018-06-07 20:50:51,-528.0
1777,2018-06-07 20:56:02,256.0
1818,2018-06-08 00:54:51,119370.0
1821,2018-06-08 01:42:43,42004.0
1824,2018-06-08 02:11:31,42.0
1831,2018-06-08 03:55:15,47804.0
1840,2018-06-08 05:53:15,-115923.0
1842,2018-06-08 05:59:15,159.0
1859,2018-06-08 06:54:20,-14454.0
1863,2018-06-08 07:02:01,4350.0
1875,2018-06-08 07:48:51,8782.0
1879,2018-06-08 09:17:53,55302.0
1882,2018-06-08 09:46:29,257.0
1913,2018-06-08 13:00:34,-51862.0
1919,2018-06-08 13:04:57,1915.0
1936,2018-06-08 13:29:41,30275.0
1954,2018-06-08 16:09:58,30050.0
1956,2018-06-08 16:26:20,903.0
2092,2018-06-09 12:01:43,187458.0
2099,2018-06-09 13:17:29,49766.0
2101,2018-06-09 13:29:11,117.0
2111,2018-06-09 14:33:39,19963.0
2113,2018-06-09 14:53:57,372.0
2277,2018-06-10 10:18:16,-378990.0
2285,2018-06-10 10:32:14,33181.0
2296,2018-06-10 11:16:09,-98.0
2303,2018-06-10 11:57:24,17856.0
2462,2018-06-10 17:52:38,-1452.0
2470,2018-06-10 18:11:04,29561.0
2480,2018-06-10 18:23:57,15881.0
2489,2018-06-10 18:55:54,24208.0
2501,2018-06-10 19:44:56,9563.0
2809,2018-06-11 09:32:03,-111202.0
3088,2018-06-12 03:32:12,-45458.0
3091,2018-06-12 03:37:53,3332.0
3101,2018-06-12 03:42:28,-12009.0
3106,2018-06-12 03:57:35,11937.0
3109,2018-06-12 04:04:08,68.0
3112,2018-06-12 04:17:36,-2.0
3114,2018-06-12 05:06:06,48.0
3118,2018-06-12 05:37:05,-3632.0
3120,2018-06-12 06:12:11,123.0
3122,2018-06-12 07:05:31,13115.0
3130,2018-06-12 08:17:49,14340.0
3171,2018-06-12 09:13:48,164278.0
3177,2018-06-12 10:17:11,-3791.0
3192,2018-06-12 10:50:00,28252.0
3210,2018-06-12 11:23:51,13535.0
3260,2018-06-12 13:47:47,-44569.0
3281,2018-06-12 15:41:50,110406.0
3639,2018-06-13 13:28:48,-90405.0
3642,2018-06-13 13:30:51,35.0
3649,2018-06-13 14:03:06,53692.0
3654,2018-06-13 14:07:02,23691.0
3672,2018-06-13 14:37:19,-6706.0
3674,2018-06-13 14:59:13,-61.0
3785,2018-06-13 21:16:08,18642.0
3797,2018-06-13 21:47:37,-690.0
3814,2018-06-13 22:18:46,35343.0
3816,2018-06-13 22:54:01,-297.0
4712,2018-06-15 09:06:50,1065732.0
4721,2018-06-15 09:15:15,417.0
4724,2018-06-15 09:21:22,537.0
4727,2018-06-15 09:53:10,15569.0
4729,2018-06-15 09:56:56,534.0
4732,2018-06-15 10:06:45,2400.0
4734,2018-06-15 10:29:55,6959.0
4736,2018-06-15 10:58:14,900.0
4738,2018-06-15 11:11:47,162.0
4756,2018-06-15 11:34:25,18696.0
4903,2018-06-15 20:58:25,146044.0
4905,2018-06-15 21:13:23,2362.0
4931,2018-06-16 00:47:46,127716.0
4947,2018-06-16 02:16:05,-129349.0
4949,2018-06-16 02:26:08,-256.0
4952,2018-06-16 02:32:24,-1.0
5010,2018-06-16 19:05:43,118935.0
5016,2018-06-16 20:06:59,2639.0
5019,2018-06-16 21:23:10,42.0
5028,2018-06-16 21:41:12,7991.0
5042,2018-06-16 22:11:43,-54727.0
5641,2018-06-19 02:45:22,671194.0
5643,2018-06-19 03:15:16,-93.0
5651,2018-06-19 03:29:53,8619.0
5655,2018-06-19 05:21:54,-414.0
7245,2018-06-24 20:23:39,-220360.0
7257,2018-06-24 20:38:21,16362.0
7259,2018-06-24 20:45:48,12.0
7266,2018-06-24 21:04:40,-6059.0
7271,2018-06-25 08:27:40,-10601.0
7278,2018-06-25 08:38:45,52000.0
7287,2018-06-25 09:03:30,15183.0
7773,2018-06-26 22:11:39,216410.0
7780,2018-06-26 22:27:32,-16744.0
7794,2018-06-26 22:38:36,-27440.0
7796,2018-06-26 22:46:44,285.0
7799,2018-06-26 22:58:08,-1049.0
7811,2018-06-26 23:22:39,46667.0
7818,2018-06-26 23:28:25,5525.0
7830,2018-06-27 00:46:34,-37553.0
7835,2018-06-27 01:13:48,-1715.0
7837,2018-06-27 01:51:30,3556.0
7839,2018-06-27 02:32:38,507.0
7845,2018-06-27 03:05:29,8524.0
7850,2018-06-27 04:07:02,-1555.0
7854,2018-06-27 04:40:38,3540.0
7859,2018-06-27 07:10:20,-126665.0
7864,2018-06-27 07:12:06,7258.0
7871,2018-06-27 07:31:20,5960.0
7875,2018-06-27 08:09:09,-19630.0
7878,2018-06-27 08:13:15,4067.0
7887,2018-06-27 09:19:42,-111006.0
8175,2018-06-28 17:00:22,188755.0
8179,2018-06-28 17:25:39,13853.0
8181,2018-06-28 17:35:34,527.0
