,timestamp,quantity,price,fee,amount,side,sign_quantity,sign_quantity_cumsum(coin),amount_cumsum,compare,point_amount_cumsum
6,2018-06-01 02:00:45,0.1122,8327000,0,934289,1,0.1122,-0.0,-702,0.0,-702.0
8,2018-06-01 02:05:54,0.0045,8333000,0,37499,1,0.0045,-0.0,-634,-702.0,68.0
13,2018-06-01 03:43:16,0.2233,8317000,0,1857186,1,0.2233,0.0,-5373,-634.0,-4739.0
57,2018-06-01 06:02:29,0.172,8313000,0,1429836,1,0.172,-0.0,8497,-5373.0,13870.0
74,2018-06-01 07:14:04,1.178,8238000,0,9704364,1,1.178,-0.0,-139252,8497.0,-147749.0
77,2018-06-01 07:26:29,0.04,8236000,0,329440,1,0.04,-0.0,-139372,-139252.0,-120.0
79,2018-06-01 07:35:36,0.0137,8248000,0,112998,1,0.0137,-0.0,-139372,-139372.0,0.0
169,2018-06-01 16:10:47,0.0968,8333000,0,806634,1,0.0968,4.95e-06,-97146,-139372.0,42226.0
171,2018-06-01 16:11:21,0.1494,8335000,0,1245249,1,0.1494,4.95e-06,-95652,-97146.0,1494.0
173,2018-06-01 16:26:28,0.0023,8335000,0,19171,1,0.0023,4.95e-06,-95638,-95652.0,14.0
326,2018-06-02 02:48:31,0.2845,8212000,0,2336314,1,0.2845,-8.7e-06,-88780,-95638.0,6858.0
333,2018-06-02 03:26:48,1.5204,8208000,0,12479443,1,1.5204,-8.7e-06,-40014,-88780.0,48766.0
335,2018-06-02 03:57:06,3.0,8175000,0,24525000,1,3.0,-8.7e-06,-37014,-40014.0,3000.0
337,2018-06-02 04:15:32,0.003,8211000,0,24633,1,0.003,-8.7e-06,-37017,-37014.0,-3.0
355,2018-06-02 05:35:38,0.1344,8218000,0,1104499,1,0.1344,-8.7e-06,-12524,-37017.0,24493.0
629,2018-06-03 09:01:01,2.8701,8321000,0,23882102,1,2.8701,-7.8e-06,71360,-12524.0,83884.0
631,2018-06-03 10:47:00,0.015,8338000,0,125070,1,0.015,-7.8e-06,71420,71360.0,60.0
643,2018-06-03 12:21:43,0.9363,8318000,0,7788143,1,0.9363,-7.8e-06,104217,71420.0,32797.0
648,2018-06-03 13:59:08,0.0014,8332000,0,11665,1,0.0014,-7.8e-06,104492,104217.0,275.0
1041,2018-06-05 03:40:28,1.639,8223000,0,13477497,1,1.639,1.55e-06,105240,104492.0,748.0
1056,2018-06-05 05:59:22,0.7843,8258000,0,6476749,1,0.7843,1.55e-06,158466,105240.0,53226.0
1059,2018-06-05 06:25:08,0.1409,8282000,0,1166934,1,0.1409,1.55e-06,159654,158466.0,1188.0
1066,2018-06-05 07:06:24,1.0309,8273000,0,8528636,1,1.0309,-8e-07,150529,159654.0,-9125.0
1074,2018-06-05 08:53:54,0.004,8257000,0,33028,1,0.004,-8e-07,183479,150529.0,32950.0
1076,2018-06-05 09:11:14,0.046,8273000,0,380558,1,0.046,-8e-07,183663,183479.0,184.0
1409,2018-06-06 17:23:23,0.1408,8310000,0,1170048,1,0.1408,-9.7e-06,459789,183663.0,276126.0
1420,2018-06-06 17:57:53,0.0888,8315000,0,738372,1,0.0888,-9.7e-06,488539,459789.0,28750.0
1429,2018-06-06 18:28:38,0.8301,8311000,0,6898961,1,0.8301,-9.7e-06,511160,488539.0,22621.0
1436,2018-06-06 19:03:30,0.2583,8310000,0,2146473,1,0.2583,-9.7e-06,532328,511160.0,21168.0
1442,2018-06-06 19:24:32,0.6068,8310000,0,5042508,1,0.6068,-9.7e-06,537638,532328.0,5310.0
1446,2018-06-06 19:48:33,2.0602,8312000,0,17124382,1,2.0602,-9.7e-06,558052,537638.0,20414.0
1467,2018-06-06 20:18:30,0.6817,8324000,0,5674471,1,0.6817,-9.7e-06,571323,558052.0,13271.0
1761,2018-06-07 18:37:22,0.1113,8375000,0,932138,1,0.1113,3.6e-07,850667,571323.0,279344.0
1763,2018-06-07 18:49:26,0.015,8371000,0,125565,1,0.015,3.6e-07,850607,850667.0,-60.0
1772,2018-06-07 20:46:06,0.0727,8373000,0,608717,1,0.0727,2.4e-07,893230,850607.0,42623.0
1775,2018-06-07 20:50:51,0.1514,8361000,0,1265855,1,0.1514,2.4e-07,892702,893230.0,-528.0
1777,2018-06-07 20:56:02,0.0284,8369000,0,237680,1,0.0284,2.4e-07,892958,892702.0,256.0
1818,2018-06-08 00:54:51,0.2012,8365000,0,1683038,1,0.2012,-6.7e-06,1012328,892958.0,119370.0
1821,2018-06-08 01:42:43,3.0,8379000,0,25137000,1,3.0,-6.7e-06,1054332,1012328.0,42004.0
1824,2018-06-08 02:11:31,0.0107,8379000,0,89655,1,0.0107,-6.7e-06,1054374,1054332.0,42.0
1831,2018-06-08 03:55:15,1.575,8377000,0,13193775,1,1.575,-6.7e-06,1102178,1054374.0,47804.0
1840,2018-06-08 05:53:15,0.1724,8343000,0,1438333,1,0.1724,-6.7e-06,986255,1102178.0,-115923.0
1842,2018-06-08 05:59:15,0.0122,8363000,0,102029,1,0.0122,-6.7e-06,986414,986255.0,159.0
1859,2018-06-08 06:54:20,0.217,8342000,0,1810214,1,0.217,-6.7e-06,971960,986414.0,-14454.0
1863,2018-06-08 07:02:01,0.0562,8345000,0,468989,1,0.0562,-6.7e-06,976310,971960.0,4350.0
1875,2018-06-08 07:48:51,0.3709,8345000,0,3095161,1,0.3709,-6.7e-06,985092,976310.0,8782.0
1879,2018-06-08 09:17:53,1.2006,8367000,0,10045420,1,1.2006,-6.7e-06,1040394,985092.0,55302.0
1882,2018-06-08 09:46:29,0.0401,8362000,0,335316,1,0.0401,-6.7e-06,1040651,1040394.0,257.0
1913,2018-06-08 13:00:34,0.8341,8319000,0,6938878,1,0.8341,-6.7e-06,988789,1040651.0,-51862.0
1919,2018-06-08 13:04:57,0.0862,8317000,0,716925,1,0.0862,-6.7e-06,990704,988789.0,1915.0
1936,2018-06-08 13:29:41,0.0468,8315000,0,389142,1,0.0468,-6.7e-06,1020979,990704.0,30275.0
1954,2018-06-08 16:09:58,0.4425,8324000,0,3683370,1,0.4425,-6.7e-06,1051029,1020979.0,30050.0
1956,2018-06-08 16:26:20,0.2257,8335000,0,1881210,1,0.2257,-6.7e-06,1051932,1051029.0,903.0
2092,2018-06-09 12:01:43,1.9547,8364000,0,16349111,1,1.9547,-4e-07,1239390,1051932.0,187458.0
2099,2018-06-09 13:17:29,2.055,8357000,0,17173635,1,2.055,-4e-07,1289156,1239390.0,49766.0
2101,2018-06-09 13:29:11,0.0195,8356000,0,162942,1,0.0195,-4e-07,1289273,1289156.0,117.0
2111,2018-06-09 14:33:39,0.35,8340000,0,2919000,1,0.35,-4e-07,1309236,1289273.0,19963.0
2113,2018-06-09 14:53:57,0.0413,8345000,0,344649,1,0.0413,-4e-07,1309608,1309236.0,372.0
2277,2018-06-10 10:18:16,0.0025,8058000,0,20145,1,0.0025,-7.45e-06,930618,1309608.0,-378990.0
2285,2018-06-10 10:32:14,3.0,8073000,0,24219000,1,3.0,-7.45e-06,963799,930618.0,33181.0
2296,2018-06-10 11:16:09,1.915,8069000,0,15452135,1,1.915,-7.45e-06,963701,963799.0,-98.0
2303,2018-06-10 11:57:24,2.7655,8058000,0,22284399,1,2.7655,-7.45e-06,981557,963701.0,17856.0
2462,2018-06-10 17:52:38,1.8481,7967000,0,14723813,1,1.8481,5.96e-06,980105,981557.0,-1452.0
2470,2018-06-10 18:11:04,1.8911,7985000,0,15100434,1,1.8911,-2.1e-06,1009666,980105.0,29561.0
2480,2018-06-10 18:23:57,0.1425,8000000,0,1140000,1,0.1425,-2.1e-06,1025547,1009666.0,15881.0
2489,2018-06-10 18:55:54,0.0108,7999000,0,86389,1,0.0108,-2.1e-06,1049755,1025547.0,24208.0
2501,2018-06-10 19:44:56,1.57278125,7976000,0,12544503,1,1.57278125,-2.1e-06,1059318,1049755.0,9563.0
2809,2018-06-11 09:32:03,0.1949,7568000,0,1475003,1,0.1949,-4.6e-06,948116,1059318.0,-111202.0
3088,2018-06-12 03:32:12,0.1223,7411000,0,906365,1,0.1223,1.1e-06,902658,948116.0,-45458.0
3091,2018-06-12 03:37:53,0.8274,7424000,0,6142618,1,0.8274,1.1e-06,905990,902658.0,3332.0
3101,2018-06-12 03:42:28,0.4322,7432000,0,3212110,1,0.4322,1.1e-06,893981,905990.0,-12009.0
3106,2018-06-12 03:57:35,0.4468,7470000,0,3337596,1,0.4468,1.1e-06,905918,893981.0,11937.0
3109,2018-06-12 04:04:08,0.0002,7473000,0,1495,1,0.0002,1.1e-06,905986,905918.0,68.0
3112,2018-06-12 04:17:36,0.0012,7495000,0,8994,1,0.0012,1.1e-06,905984,905986.0,-2.0
3114,2018-06-12 05:06:06,0.008,7486000,0,59888,1,0.008,1.1e-06,906032,905984.0,48.0
3118,2018-06-12 05:37:05,0.2095,7470000,0,1564965,1,0.2095,1.1e-06,902400,906032.0,-3632.0
3120,2018-06-12 06:12:11,0.0246,7502000,0,184549,1,0.0246,1.1e-06,902523,902400.0,123.0
3122,2018-06-12 07:05:31,2.1859,7530000,0,16459827,1,2.1859,1.1e-06,915638,902523.0,13115.0
