,timestamp,amount_cumsum
1,2018-07-01 02:05:54,225
4,2018-07-01 02:46:33,225
9,2018-07-01 05:40:53,3665
12,2018-07-01 05:57:11,8123
19,2018-07-01 09:12:09,23184
21,2018-07-01 09:22:00,23064
26,2018-07-01 09:39:19,23601
33,2018-07-01 09:49:19,27132
399,2018-07-02 17:08:58,83572
402,2018-07-02 17:43:13,83901
418,2018-07-02 20:17:03,116218
424,2018-07-02 22:05:21,119224
429,2018-07-02 22:24:33,147224
438,2018-07-02 22:30:56,585740
440,2018-07-02 22:34:05,585672
444,2018-07-02 22:35:24,596071
587,2018-07-03 01:36:58,586512
594,2018-07-03 01:52:24,604106
597,2018-07-03 01:59:36,600854
620,2018-07-03 03:12:56,720827
635,2018-07-03 03:28:34,720386
640,2018-07-03 03:31:45,719203
642,2018-07-03 03:35:54,720608
654,2018-07-03 04:09:06,723841
666,2018-07-03 04:19:51,738640
704,2018-07-03 04:43:21,713985
706,2018-07-03 04:52:52,713550
710,2018-07-03 05:19:40,713880
762,2018-07-03 07:04:48,597967
775,2018-07-03 07:06:23,545217
781,2018-07-03 07:09:28,541909
787,2018-07-03 07:11:30,535254
822,2018-07-03 07:28:42,447395
824,2018-07-03 07:31:13,447265
826,2018-07-03 07:32:16,447018
828,2018-07-03 07:37:00,446958
832,2018-07-03 07:39:05,445003
843,2018-07-03 07:41:22,429759
859,2018-07-03 07:46:52,404480
863,2018-07-03 07:48:31,404132
866,2018-07-03 07:50:03,402039
869,2018-07-03 07:52:23,397207
880,2018-07-03 07:58:31,388147
882,2018-07-03 08:02:39,384094
886,2018-07-03 08:09:23,383537
888,2018-07-03 08:23:11,383437
907,2018-07-03 08:32:54,398880
913,2018-07-03 08:34:19,396124
1816,2018-07-04 19:45:56,563503
1818,2018-07-04 19:52:17,563825
1822,2018-07-04 20:09:12,560783
1824,2018-07-04 20:10:46,560783
1826,2018-07-04 20:28:19,560800
1888,2018-07-04 22:25:24,917200
1895,2018-07-04 22:35:55,914939
1905,2018-07-04 22:45:28,942196
1908,2018-07-04 22:48:21,942023
1911,2018-07-04 22:50:00,941807
1922,2018-07-04 23:04:32,937239
1934,2018-07-04 23:12:49,964098
1936,2018-07-04 23:14:55,963645
1973,2018-07-05 01:20:05,921003
2759,2018-07-06 10:37:38,1231184
2762,2018-07-06 10:44:22,1231200
2766,2018-07-06 11:37:02,1230809
2779,2018-07-06 12:00:00,1242529
3046,2018-07-07 01:10:01,1298680
3050,2018-07-07 01:19:20,1298102
3054,2018-07-07 02:08:59,1300245
3056,2018-07-07 02:38:44,1300555
3233,2018-07-07 06:59:48,1391896
3237,2018-07-07 07:01:38,1407266
3248,2018-07-07 07:16:26,1410591
3253,2018-07-07 07:44:16,1419449
3257,2018-07-07 08:10:13,1420254
3283,2018-07-07 08:18:01,1469442
3295,2018-07-07 08:30:02,1490005
3300,2018-07-07 08:36:25,1490836
3306,2018-07-07 08:48:53,1490858
3319,2018-07-07 09:29:29,1487935
3324,2018-07-07 09:44:44,1489858
3326,2018-07-07 10:14:10,1485301
3337,2018-07-07 10:35:41,1484600
3350,2018-07-07 10:58:49,1484031
3356,2018-07-07 11:07:57,1485538
3360,2018-07-07 11:08:46,1485325
3364,2018-07-07 11:18:12,1485552
3379,2018-07-07 11:47:34,1493075
3395,2018-07-07 12:40:10,1531503
3506,2018-07-07 22:35:13,1416881
3525,2018-07-07 23:18:39,1448575
3584,2018-07-08 07:41:14,1516786
3592,2018-07-08 08:06:29,1556752
3611,2018-07-08 08:24:56,1580370
3641,2018-07-08 08:26:30,1783948
3644,2018-07-08 08:34:05,1783636
3646,2018-07-08 08:43:01,1783402
3648,2018-07-08 08:44:46,1779359
3650,2018-07-08 08:51:59,1779317
3654,2018-07-08 08:56:33,1781739
3689,2018-07-08 10:03:52,1740848
3706,2018-07-08 10:36:17,1730660
3727,2018-07-08 12:39:38,1697981
3732,2018-07-08 13:53:21,1707971
3734,2018-07-08 14:04:17,1709564
3740,2018-07-08 14:56:31,1710256
3742,2018-07-08 16:31:15,1710256
3792,2018-07-08 19:07:07,1735948
3796,2018-07-08 19:32:09,1719443
3813,2018-07-08 20:44:16,1736970
3816,2018-07-08 20:58:44,1736820
3819,2018-07-08 20:59:49,1736815
3821,2018-07-08 21:00:52,1736815
3825,2018-07-08 21:13:51,1736815
4544,2018-07-09 19:00:15,1593833
4547,2018-07-09 19:30:28,1593778
4552,2018-07-09 19:36:54,1597403
4561,2018-07-09 20:04:30,1587285
4571,2018-07-09 20:16:34,1584409
4573,2018-07-09 20:20:18,1584405
4583,2018-07-09 20:39:20,1576676
4599,2018-07-09 20:51:31,1584796
4613,2018-07-09 20:58:11,1595839
4630,2018-07-09 21:11:54,1584423
4665,2018-07-09 21:44:29,1549375
4667,2018-07-09 21:48:34,1549453
4669,2018-07-09 21:51:40,1549442
4672,2018-07-09 22:09:07,1549544
4682,2018-07-09 22:16:46,1548454
4688,2018-07-09 22:30:57,1538543
4700,2018-07-09 22:34:14,1537721
4716,2018-07-09 23:04:16,1525667
4720,2018-07-09 23:10:18,1526171
4728,2018-07-09 23:29:50,1527712
4731,2018-07-09 23:52:42,1528372
4748,2018-07-09 23:57:10,1528183
4758,2018-07-10 00:05:13,1531859
4770,2018-07-10 00:15:30,1516474
4775,2018-07-10 00:28:14,1514700
4777,2018-07-10 00:35:38,1513640
4780,2018-07-10 00:46:00,1514616
4814,2018-07-10 01:32:41,1507654
4829,2018-07-10 01:42:33,1511065
4831,2018-07-10 01:55:18,1513434
4835,2018-07-10 02:15:37,1513556
4838,2018-07-10 02:28:40,1513591
5146,2018-07-10 10:12:00,1602440
5157,2018-07-10 10:22:27,1601208
5166,2018-07-10 10:36:26,1601304
5169,2018-07-10 10:45:18,1602254
5470,2018-07-10 19:08:18,823451
7315,2018-07-13 14:40:09,151323
9381,2018-07-16 22:17:11,431256
9389,2018-07-16 22:25:03,459589
9399,2018-07-16 22:32:18,450074
9420,2018-07-16 22:37:14,397792
9443,2018-07-16 23:40:58,499864
9453,2018-07-16 23:55:40,493203
9455,2018-07-16 23:56:53,493263
9460,2018-07-16 23:58:55,493806
9464,2018-07-17 00:00:03,494122
9466,2018-07-17 00:00:49,494149
