timestamp_day,Date transaction,Date sell-buy,Date sell transaction,Date sell,Date buy transaction,Date buy,Date total sell,Date absolute total buy
1,505,-17802234,302,717288802,203,-735091036,1452379838,735091036
2,407,8295332,212,556368315,195,-548072983,1104441298,548072983
3,527,10138584,291,853401686,236,-843263102,1696664788,843263102
4,1002,545803,581,1812511408,421,-1811965605,3624477013,1811965605
5,559,340552,321,955927119,238,-955586567,1911513686,955586567
6,689,-15021496,447,1079537488,242,-1094558984,2174096472,1094558984
7,1015,-9802781,720,1633907661,295,-1643710442,3277618103,1643710442
8,1157,-4478454,796,2261280750,361,-2265759204,4527039954,2265759204
9,1061,32020288,668,1790217680,393,-1758197392,3548415072,1758197392
10,498,-15454910,289,918973913,209,-934428823,1853402736,934428823
11,1106,15948021,710,1748230958,396,-1732282937,3480513895,1732282937
12,1494,716218,950,1844350809,544,-1843634591,3687985400,1843634591
13,1415,506235,916,1876379212,499,-1875872977,3752252189,1875872977
14,1185,748015,714,2061334907,471,-2060586892,4121921799,2060586892
15,1293,-642716,945,2460913560,348,-2461556276,4922469836,2461556276
16,1284,-33671859,828,2052901506,456,-2086573365,4139474871,2086573365
17,928,35135338,602,1546594426,326,-1511459088,3058053514,1511459088
18,922,827709,649,1514323102,273,-1513495393,3027818495,1513495393
19,573,722379,362,889631353,211,-888908974,1778540327,888908974
20,506,-26828987,330,789460214,176,-816289201,1605749415,816289201
21,624,28321486,395,954023745,229,-925702259,1879726004,925702259
22,484,-23719995,351,833107084,133,-856827079,1689934163,856827079
23,703,23599623,485,1147547739,218,-1123948116,2271495855,1123948116
24,885,-12506828,500,1055529545,385,-1068036373,2123565918,1068036373
25,487,12749313,294,681984676,193,-669235363,1351220039,669235363
26,257,-13815553,172,261136899,85,-274952452,536089351,274952452
27,222,3720588,138,237710205,84,-233989617,471699822,233989617
28,311,-5858398,188,431632616,123,-437491014,869123630,437491014
29,448,16548664,251,524002315,197,-507453651,1031455966,507453651
30,378,187538,216,580552058,162,-580364520,1160916578,580364520
31,370,531831,245,563514765,125,-562982934,1126497699,562982934
