timestamp_day,Date transaction,Date sell-buy,Date sell transaction,Date sell,Date buy transaction,Date buy,Date total sell,Date absolute total buy
1,574,1386872,362,790414965,212,-789028093,1579443058,789028093
2,659,-21457689,415,950454757,244,-971912446,1922367203,971912446
3,810,23933671,441,1309994311,369,-1286060640,2596054951,1286060640
4,1210,-6326630,727,1981767991,483,-1988094621,3969862612,1988094621
5,1108,-1360634,683,1915700797,425,-1917061431,3832762228,1917061431
6,756,10139368,457,1004494722,299,-994355354,1998850076,994355354
7,538,1339931,336,924544880,202,-923204949,1847749829,923204949
8,723,-11691662,418,1167014992,305,-1178706654,2345721646,1178706654
9,1342,-3960911,778,2338009925,564,-2341970836,4679980761,2341970836
10,952,12016914,614,1689052815,338,-1677035901,3366088716,1677035901
11,773,-5561908,489,1226544111,284,-1232106019,2458650130,1232106019
12,1600,-914872,931,2706995233,669,-2707910105,5414905338,2707910105
13,1387,-9821100,774,2302904135,613,-2312725235,4615629370,2312725235
14,678,3804128,410,1017852716,268,-1014048588,2031901304,1014048588
15,603,-9266205,343,1089467498,260,-1098733703,2188201201,1098733703
16,723,30707319,416,1339980208,307,-1309272889,2649253097,1309272889
17,643,-474549,361,952021004,282,-952495553,1904516557,952495553
18,777,1721406,479,1143349230,298,-1141627824,2284977054,1141627824
19,791,890354,427,1452070241,364,-1451179887,2903250128,1451179887
20,1160,2101743,761,2023523659,399,-2021421916,4044945575,2021421916
21,1243,-34376634,754,2256308015,489,-2290684649,4546992664,2290684649
22,727,22892512,409,1161811293,318,-1138918781,2300730074,1138918781
23,764,-24091452,487,1507810816,277,-1531902268,3039713084,1531902268
24,930,39752051,538,1586486845,392,-1546734794,3133221639,1546734794
25,1526,2419432,781,2304753922,745,-2302334490,4607088412,2302334490
26,1329,-4840848,699,2042726635,630,-2047567483,4090294118,2047567483
27,1031,-23839081,578,1858617537,453,-1882456618,3741074155,1882456618
28,1062,9683467,608,1550586150,454,-1540902683,3091488833,1540902683
29,720,20795312,408,1032470610,312,-1011675298,2044145908,1011675298
30,651,75735,354,1007830212,297,-1007754477,2015584689,1007754477
