timestamp_hour,Hourly transaction,Hourly sell-buy,Hourly sell transaction,Hourly sell,Hourly buy transaction,Hourly buy,Hourly total sell,Hourly absolute total buy
0,971,-79413997,579,1463300539,392,-1542714536,3006015075,1542714536
1,908,173875215,581,1676335700,327,-1502460485,3178796185,1502460485
2,725,-39978087,411,898897400,314,-938875487,1837772887,938875487
3,730,-117808993,449,958598843,281,-1076407836,2035006679,1076407836
4,613,59669301,386,889184518,227,-829515217,1718699735,829515217
5,633,39534245,424,835980479,209,-796446234,1632426713,796446234
6,634,-112758300,391,847805827,243,-960564127,1808369954,960564127
7,900,21846653,558,1333013604,342,-1311166951,2644180555,1311166951
8,884,-25585044,541,1363676696,343,-1389261740,2752938436,1389261740
9,1154,-12818660,719,1996072274,435,-2008890934,4004963208,2008890934
10,1069,5874752,697,1675919694,372,-1670044942,3345964636,1670044942
11,1071,46449476,697,1627907735,374,-1581458259,3209365994,1581458259
12,974,53661098,695,1636828536,279,-1583167438,3219995974,1583167438
13,903,-14430791,597,1745463740,306,-1759894531,3505358271,1759894531
14,1145,-60337791,766,1896473031,379,-1956810822,3853283853,1956810822
15,1153,-19117035,748,2091785827,405,-2110902862,4202688689,2110902862
16,1036,90101556,697,1728240557,339,-1638139001,3366379558,1638139001
17,1278,-126684182,844,1860393159,434,-1987077341,3847470500,1987077341
18,1170,156140256,777,1922605983,393,-1766465727,3689071710,1766465727
19,1073,-19681485,693,1688790767,380,-1708472252,3397263019,1708472252
20,1002,18692451,645,1499162545,357,-1480470094,2979632639,1480470094
21,1039,-71229217,637,1559209309,402,-1630438526,3189647835,1630438526
22,1154,-6877096,677,1824239467,477,-1831116563,3655356030,1831116563
23,1076,52874981,659,1614390286,417,-1561515305,3175905591,1561515305
